ID Автомобиля;Номер;Год выпуска;"Экологический
класс";"Средний расход
бензина, л/100км"
1;Р9521 55;2015;4;13,8
2;Х753УA 16;2003;3;14
3;M0710 75;2011;4;12
4;008D565 38;2012;4;11,2
5;С6362 50;2008;3;12,9
6;006T791 124;2008;3;13,5
7;С9517 86;2016;4;10,3
8;СM140 190;2001;2;15,6
9;О1463 71;2002;2;15,9
10;001CD5 197;2005;3;15,6
11;B3800 55;2021;5;10,6
12;M377ХA 88;2017;5;10,6
13;УО4690 33;2003;3;14,5
14;Р913НM 92;2011;4;14,5
15;E0726 116;2018;5;12,3
16;Т1016 06;2007;3;10
17;4984ТB 55;1996;2;12
18;3064BТ 63;2018;5;11
19;E1194 85;2005;3;14,6
20;ТA9809 54;2004;3;13,4
21;BE0338 13;2012;4;12,1
22;BУ3448 52;2007;3;12,6
23;Н959BО 99;1995;2;11,3
24;007CD1 716;2008;3;12,4
25;ХХ4937 161;2009;3;9,8
26;8595AA 53;2005;3;12,1
27;K778НE 63;2016;4;10,5
28;О8991 66;2013;4;10,6
29;AО0252 35;2020;5;8,5
30;MН203 77;2009;3;9,4
31;НХ1421 154;2013;4;13
32;Н1642 45;2014;4;11,4
33;006T128 49;1996;2;13,1
34;003D162 02;2000;2;10,9
35;7040ТС 08;2003;3;12,5
36;AР5490 91;2022;5;8,5
37;5044AB 68;1997;2;15,8
38;О3149 43;2002;2;11,8
39;Т3454 68;2017;5;9,2
40;9852СР 52;2010;4;8,9
41;Х9170 67;1996;2;11,4
42;003CD6 68;2007;3;15,3
