ID Поездки;ID Водителя;ID Автомобиля;"Дата и время
начала поездки";Длина поездки, км
1;2;3;08.04.2023 21:09;34,6
2;63;28;08.04.2023 21:45;2,8
3;23;15;08.04.2023 22:40;42,2
4;14;14;08.04.2023 22:58;5,4
5;31;23;08.04.2023 23:04;22,5
6;4;32;09.04.2023 0:38;51,6
7;31;26;09.04.2023 1:48;57,0
8;11;40;09.04.2023 2:03;34,6
9;19;36;09.04.2023 6:29;8,5
10;22;16;09.04.2023 8:30;55,3
11;62;41;09.04.2023 10:33;7,4
12;40;37;09.04.2023 11:45;34,9
13;58;4;09.04.2023 11:54;3,2
14;21;15;09.04.2023 12:02;51,6
15;41;7;09.04.2023 12:27;27,8
16;54;8;09.04.2023 13:19;25,0
17;48;14;09.04.2023 13:49;17,7
18;18;21;09.04.2023 14:19;59,7
19;60;13;09.04.2023 14:43;41,3
20;39;7;09.04.2023 16:57;8,5
21;44;32;09.04.2023 18:24;10,9
22;62;41;09.04.2023 21:02;22,8
23;53;14;09.04.2023 22:04;51,8
24;39;33;09.04.2023 23:13;37,5
25;51;7;09.04.2023 23:16;36,2
26;40;40;10.04.2023 0:04;7,4
27;14;41;10.04.2023 0:36;44,4
28;40;15;10.04.2023 2:05;49,4
29;23;40;10.04.2023 3:45;32,6
30;10;34;10.04.2023 3:58;46,5
31;9;30;10.04.2023 5:30;3,2
32;42;1;10.04.2023 6:29;30,2
33;20;14;10.04.2023 9:59;35,6
34;45;27;10.04.2023 10:26;40,1
35;59;39;10.04.2023 12:35;10,4
36;10;3;10.04.2023 19:59;29,0
37;50;4;10.04.2023 22:30;25,2
38;14;10;10.04.2023 23:39;25,9
39;24;16;11.04.2023 2:16;28,2
40;13;9;11.04.2023 4:39;29,3
41;58;2;11.04.2023 7:48;3,1
42;41;37;11.04.2023 8:23;10,4
43;40;11;11.04.2023 9:10;5,6
44;32;19;11.04.2023 9:41;43,2
45;62;10;11.04.2023 10:49;7,8
46;4;6;11.04.2023 11:24;23,7
47;16;37;11.04.2023 14:28;17,8
48;63;13;11.04.2023 17:26;45,9
49;6;32;11.04.2023 18:33;59,6
50;15;19;11.04.2023 19:03;14,1
51;14;10;11.04.2023 20:52;59,2
52;41;15;11.04.2023 22:51;33,7
53;63;23;11.04.2023 22:56;44,9
54;26;39;12.04.2023 0:05;13,2
55;49;29;12.04.2023 1:10;12,5
56;58;2;12.04.2023 1:32;4,2
57;23;15;12.04.2023 2:43;26,5
58;56;14;12.04.2023 4:00;41,4
59;41;40;12.04.2023 5:56;39,6
60;55;29;12.04.2023 6:21;13,0
61;28;41;12.04.2023 8:01;3,4
62;38;21;12.04.2023 11:08;45,7
63;20;38;12.04.2023 13:37;58,7
64;51;7;12.04.2023 13:44;24,4
65;44;6;12.04.2023 13:51;22,6
66;13;2;12.04.2023 14:26;56,6
67;24;16;12.04.2023 15:30;56,3
68;48;41;12.04.2023 15:56;28,0
69;5;18;12.04.2023 17:35;3,8
70;63;28;12.04.2023 17:48;49,1
71;59;4;12.04.2023 21:51;15,2
72;12;31;13.04.2023 0:27;31,0
73;6;6;13.04.2023 0:58;19,8
74;46;14;13.04.2023 1:42;43,4
75;35;12;13.04.2023 2:11;22,9
76;30;3;13.04.2023 3:12;25,8
77;51;7;13.04.2023 3:58;33,9
78;49;20;13.04.2023 4:43;43,0
79;13;9;13.04.2023 6:20;26,3
80;1;24;13.04.2023 10:40;8,3
81;48;19;13.04.2023 10:43;17,2
82;52;2;13.04.2023 11:09;57,8
83;17;32;13.04.2023 11:11;6,7
84;60;22;13.04.2023 11:28;26,6
85;6;6;13.04.2023 11:30;47,1
86;22;16;13.04.2023 12:17;32,8
87;52;4;13.04.2023 18:05;50,0
88;56;21;13.04.2023 19:01;55,4
89;59;39;13.04.2023 21:14;11,1
90;21;11;13.04.2023 21:50;1,7
91;42;1;14.04.2023 0:46;38,4
92;20;35;14.04.2023 1:34;7,7
93;39;37;14.04.2023 2:21;38,6
94;41;40;14.04.2023 3:18;53,3
95;13;17;14.04.2023 4:58;59,7
96;36;32;14.04.2023 8:13;10,6
97;18;21;14.04.2023 8:40;32,3
98;62;19;14.04.2023 10:35;48,3
99;29;6;14.04.2023 11:56;39,9
100;17;32;14.04.2023 13:55;12,7
101;56;14;14.04.2023 14:58;36,0
102;13;4;14.04.2023 17:35;6,8
103;6;6;14.04.2023 17:45;2,7
104;30;5;14.04.2023 18:56;22,7
105;55;20;14.04.2023 20:02;20,7
106;24;42;14.04.2023 21:11;25,8
107;22;1;14.04.2023 22:09;41,5
108;35;5;14.04.2023 22:57;17,7
109;54;8;14.04.2023 23:34;32,2
110;62;19;15.04.2023 0:58;7,6
111;2;18;15.04.2023 2:48;51,6
112;61;9;15.04.2023 3:06;34,5
113;48;10;15.04.2023 4:00;26,2
114;1;12;15.04.2023 6:25;49,1
115;32;41;15.04.2023 7:41;18,5
116;4;32;15.04.2023 8:47;22,7
117;63;28;15.04.2023 9:13;21,0
118;26;2;15.04.2023 9:42;19,2
119;11;7;15.04.2023 11:04;54,7
120;32;41;15.04.2023 14:14;30,7
121;59;17;15.04.2023 14:51;13,4
122;41;15;15.04.2023 14:57;34,7
123;27;17;15.04.2023 15:46;48,5
124;12;20;15.04.2023 17:02;23,2
125;40;11;15.04.2023 17:59;14,0
126;1;24;15.04.2023 19:24;8,2
127;57;36;16.04.2023 1:08;29,5
128;4;6;16.04.2023 1:27;32,0
129;22;16;16.04.2023 3:09;43,6
130;47;31;16.04.2023 5:44;27,1
131;63;26;16.04.2023 5:46;57,4
132;25;26;16.04.2023 10:27;20,3
133;36;32;16.04.2023 11:55;43,4
134;50;17;16.04.2023 13:18;55,1
135;41;33;16.04.2023 14:45;8,9
136;24;16;16.04.2023 15:32;42,0
137;50;4;16.04.2023 16:21;45,4
138;55;30;16.04.2023 17:55;58,0
139;54;33;16.04.2023 18:50;33,3
140;55;30;16.04.2023 19:23;12,1
141;43;32;16.04.2023 19:32;32,4
142;11;15;16.04.2023 19:40;38,4
143;12;31;17.04.2023 2:18;36,3
144;33;2;17.04.2023 3:01;39,5
145;25;22;17.04.2023 3:39;50,5
146;42;25;17.04.2023 3:59;47,2
147;61;39;17.04.2023 4:25;17,3
148;6;32;17.04.2023 5:58;31,2
149;37;41;17.04.2023 7:51;39,0
150;20;38;17.04.2023 10:41;55,6
151;2;18;17.04.2023 11:04;55,8
152;14;21;17.04.2023 14:03;35,4
153;13;39;17.04.2023 15:55;40,7
154;27;17;17.04.2023 16:07;15,7
155;51;33;17.04.2023 16:45;29,6
156;58;2;17.04.2023 17:59;28,6
157;15;21;17.04.2023 18:52;36,4
158;6;32;17.04.2023 18:57;36,1
159;23;15;17.04.2023 19:07;54,9
160;2;3;17.04.2023 19:13;57,4
161;24;16;17.04.2023 20:17;52,3
162;35;12;17.04.2023 20:25;13,3
163;12;27;17.04.2023 20:48;2,4
164;28;41;17.04.2023 21:30;23,8
165;22;25;17.04.2023 22:01;11,7
166;22;25;17.04.2023 23:44;27,6
167;6;6;18.04.2023 0:12;14,3
168;54;37;18.04.2023 0:49;3,2
169;39;15;18.04.2023 2:21;20,2
170;63;26;18.04.2023 4:45;50,8
171;63;22;18.04.2023 5:40;15,2
172;39;33;18.04.2023 9:16;24,7
173;41;33;18.04.2023 9:18;52,1
174;12;31;18.04.2023 9:27;57,9
175;13;2;18.04.2023 10:16;19,0
176;34;32;18.04.2023 12:42;27,9
177;35;5;18.04.2023 12:59;41,2
178;5;34;18.04.2023 15:42;13,8
179;14;21;18.04.2023 16:22;51,1
180;25;13;18.04.2023 17:14;8,4
181;27;2;18.04.2023 17:48;23,6
182;36;32;18.04.2023 18:51;56,2
183;3;32;18.04.2023 19:50;49,8
184;14;21;18.04.2023 20:04;54,2
185;59;17;18.04.2023 22:52;39,2
186;61;9;19.04.2023 0:15;19,4
187;18;35;19.04.2023 0:39;43,6
188;30;36;19.04.2023 1:47;51,6
189;16;11;19.04.2023 2:37;28,9
190;10;12;19.04.2023 3:09;38,1
191;55;29;19.04.2023 4:10;22,7
